"External ID","Name","Supplier/Supplier Product Code"
"AUTOLAMPS1154","AXIO/FIELDER/VITZ/YARIS (05-12)/COROLLA (07/14)/WISH (10-) - SIDE LAMP","TY18-0306"
"AUTOLAMPS2690","AXIO, NZE 141 (07-11), VITZ (05-), ALLION (01), RAV4 (05) - FOG LAMP (212-2052) - LH","MZ01-12006"
"AUTOLAMPS2691","AXIO, NZE 141 (07-11), VITZ (05-), ALLION (01), RAV4 (05) - FOG LAMP (212-2052) - RH","MZ01-12006"
"AUTOLAMPS2774","BUS TRUCK SIDE MIRROR","LL-006"
"AUTOLAMPS0001","DAIHATSU MIRA ES LA300 D75 5D HATCHBACK (12-) - LAMINATED FRONT WINDSCREEN","1213*850"
"AUTOLAMPS0002","DAIHATSU MOVE 5D HATCHBACK (10- ) - FRONT DOOR GLASS - LH","906*473"
"AUTOLAMPS0003","DAIHATSU MOVE 5D HATCHBACK (10- ) - FRONT DOOR GLASS - RH","906*473"
"AUTOLAMPS0004","DAIHATSU MOVE 5D HATCHBACK (10- ) - LAMINTED FRONT  WINDSCREEN","1274*936"
"AUTOLAMPS0005","DAIHATSU MOVE 5D HATCHBACK (10- ) - REAR HEATED WINDSCREEN","1141*495"
"AUTOLAMPS0006","DAIHATSU MOVE CONTE L575/L25/TOYOTA PIXIS 5D HATCHBACK (10-) - LAMINATED FRONT WINDSCREEN","1287*710"
"AUTOLAMPS0007","FORD RANGER (02-05) - CORNER LAMP (231-1523) - LH","FD06-0303"
"AUTOLAMPS0008","FORD RANGER (02-05) - CORNER LAMP (231-1523) - RH","FD06-0303"
"AUTOLAMPS0009","FORD RANGER (02-05) - HEAD LAMP (231-1951) - LH","FD06-0301"
"AUTOLAMPS0010","FORD RANGER (02-05) - HEAD LAMP (231-1951) - RH","FD06-0301"
"AUTOLAMPS0011","FORD RANGER (02-05) - TAIL LAMP (231-1951) - LH","FD06-0302"
"AUTOLAMPS0012","FORD RANGER (02-05) - TAIL LAMP (231-1951) - RH","FD06-0302"
"AUTOLAMPS0013","FORD RANGER (06-07) - HEAD LAMP (231-1135) - LH","FD06-0401"
"AUTOLAMPS0014","FORD RANGER (06-07) - HEAD LAMP (231-1135) - RH","FD06-0401"
"AUTOLAMPS0015","FORD RANGER (06-07) - TAIL LAMP (231-1952) - LH","FD06-0402"
